timestamp,open,high,low,close,volume,close_time,quote_asset_volume,trades,taker_base_vol,taker_quote_vol,ignore
2023-01-01,0.24580000,0.25000000,0.24340000,0.24990000,49487029.50000000,1672617599999,12195300.86294000,26077,26260163.20000000,6472306.00912000,0
2023-01-02,0.24990000,0.25650000,0.24660000,0.25380000,75458284.60000000,1672703999999,19077666.03478000,41366,39026007.30000000,9868596.14302000,0
2023-01-03,0.25380000,0.25550000,0.25020000,0.25290000,71671057.10000000,1672790399999,18118088.32028000,35667,34921017.90000000,8830214.00656000,0
2023-01-04,0.25290000,0.27080000,0.25180000,0.26780000,148810996.50000000,1672876799999,39307216.21345000,81093,77143345.90000000,20391284.27607000,0
2023-01-05,0.26780000,0.27130000,0.26330000,0.26920000,81943632.60000000,1672963199999,21875835.63976000,50246,41577762.60000000,11102597.57660000,0
2023-01-06,0.26920000,0.27980000,0.26710000,0.27860000,171198727.60000000,1673049599999,46709200.59142000,91513,85435452.40000000,23313758.01995000,0
2023-01-07,0.27850000,0.28060000,0.27230000,0.27680000,72623368.20000000,1673135999999,20043246.99803000,43840,34331752.90000000,9475851.34513000,0
2023-01-08,0.27680000,0.29900000,0.27420000,0.29740000,196047722.80000000,1673222399999,56211406.76293000,115112,102786505.60000000,29481600.72780000,0
2023-01-09,0.29750000,0.34600000,0.29550000,0.31680000,405177005.90000000,1673308799999,130535883.67986000,289600,204970775.80000000,66028132.55723000,0
2023-01-10,0.31680000,0.32530000,0.30630000,0.32220000,184082448.10000000,1673395199999,58443335.34537000,111866,92508102.60000000,29379189.34868000,0
2023-01-11,0.32220000,0.32350000,0.30750000,0.32300000,144048586.50000000,1673481599999,45390642.83380000,93951,71986686.40000000,22683947.26887000,0
2023-01-12,0.32300000,0.33510000,0.31540000,0.32930000,248440812.50000000,1673567999999,80984073.16599000,160006,126294016.40000000,41172653.23987000,0
2023-01-13,0.32930000,0.35090000,0.32370000,0.34560000,150546494.00000000,1673654399999,50290558.79069000,132896,75438244.80000000,25211615.56371000,0
2023-01-14,0.34550000,0.36970000,0.33200000,0.35250000,288977177.50000000,1673740799999,102311533.60626000,269368,145077040.50000000,51391276.53754000,0
2023-01-15,0.35260000,0.35390000,0.33850000,0.35070000,132983094.30000000,1673827199999,46120700.65588000,111654,65033920.60000000,22558338.22857000,0
2023-01-16,0.35080000,0.36400000,0.33760000,0.35040000,156864828.50000000,1673913599999,55154485.19975000,135456,77392992.80000000,27219905.33959000,0
2023-01-17,0.35050000,0.35760000,0.34300000,0.34550000,101591352.20000000,1673999999999,35648563.00154000,96893,48489980.60000000,17018564.99565000,0
2023-01-18,0.34550000,0.35550000,0.32370000,0.32640000,170018857.20000000,1674086399999,57705260.14865000,158161,79570251.90000000,27001317.79739000,0
2023-01-19,0.32640000,0.34300000,0.32550000,0.33790000,80228314.70000000,1674172799999,26780825.48138000,72624,39016752.20000000,13024231.14447000,0
